embed,mrr,ndcg@5,page@1,page@3,page@5,page@10,file@1,file@3,file@5,file@10,fail_rate,total
gemma-embed-300m,0.6646,0.697,0.5833,0.75,0.7933,0.7933,0.85,0.9033,0.92,0.92,0.2067,300
jina-v4-retrieval,0.6441,0.6806,0.5533,0.72,0.79,0.79,0.82,0.89,0.9167,0.9167,0.21,300
nomic-embed-v2-moe,0.6421,0.67,0.57,0.71,0.7533,0.7533,0.8433,0.88,0.9,0.9,0.2467,300
snowflake-arctic-l-v2,0.641,0.664,0.5867,0.6733,0.7333,0.7333,0.85,0.8867,0.8967,0.8967,0.2667,300
kure-v1,0.6372,0.6657,0.56,0.72,0.75,0.75,0.87,0.8967,0.91,0.91,0.25,300
granite-278m,0.5914,0.6247,0.5033,0.68,0.7233,0.7233,0.7867,0.8567,0.8733,0.8733,0.2767,300
qwen3-embed-4b,0.581,0.6175,0.49,0.6633,0.7267,0.7267,0.8033,0.8767,0.9033,0.9033,0.2733,300
me5-large-instruct,0.5793,0.612,0.5,0.6533,0.71,0.71,0.8133,0.8767,0.91,0.91,0.29,300
bge-m3,0.5623,0.5926,0.4867,0.6267,0.6833,0.6833,0.8267,0.8833,0.8967,0.8967,0.3167,300
harrier-270m,0.5523,0.5829,0.47,0.6333,0.6733,0.6733,0.7867,0.8633,0.8833,0.8833,0.3267,300
qwen3-embed-0.6b,0.5493,0.579,0.47,0.64,0.6667,0.6667,0.7833,0.8567,0.8733,0.8733,0.3333,300
jina-v4-code,0.5348,0.5737,0.4367,0.6167,0.69,0.69,0.7733,0.8667,0.8833,0.8833,0.31,300
qwen3-embed-8b,0.5232,0.5548,0.45,0.5867,0.65,0.65,0.8,0.8533,0.8667,0.8667,0.35,300
harrier-0.6b,0.5169,0.5546,0.4167,0.6033,0.6667,0.6667,0.76,0.8433,0.87,0.87,0.3333,300
granite-107m,0.4726,0.5072,0.3833,0.56,0.61,0.61,0.7,0.8033,0.8267,0.8267,0.39,300
nemotron-embed-8b,0.4528,0.4905,0.36,0.5333,0.6033,0.6033,0.7033,0.8267,0.88,0.88,0.3967,300
jina-v5-small-retrieval,0.3754,0.4017,0.31,0.44,0.48,0.48,0.6167,0.7067,0.7467,0.7467,0.52,300
jina-code-1.5b,0.3174,0.3554,0.2267,0.39,0.47,0.47,0.5867,0.7567,0.8233,0.8233,0.53,300
jina-v5-nano-matching,0.1688,0.1889,0.1267,0.2033,0.25,0.25,0.4,0.52,0.6133,0.6133,0.75,300
labse,0.0446,0.0533,0.0267,0.0567,0.08,0.08,0.1067,0.22,0.27,0.27,0.92,300
harrier-27b,0.0032,0.0048,0.0,0.0033,0.01,0.01,0.0267,0.0667,0.1133,0.1133,0.99,300
